Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
49,No,Travel_Rarely,916,Research & Development,26,1,Technical Degree,1,11,3,Male,66,4,5,Research Scientist,4,Single,15145,24725,2,Y,Yes,17,3,4,80,1,30,3,2,32,14,6,2
60,No,Travel_Rarely,1232,Human Resources,12,2,Human Resources,1,12,3,Male,34,3,2,Manager,4,Married,8952,20594,4,Y,No,12,3,4,80,0,21,3,3,0,7,13,11
50,Yes,Travel_Rarely,576,Research & Development,24,4,Life Sciences,1,13,1,Female,61,2,4,Healthcare Representative,1,Divorced,3389,4623,5,Y,Yes,16,3,2,80,1,38,3,2,34,1,2,9
37,No,Travel_Rarely,484,Research & Development,21,1,Other,1,14,1,Male,71,1,1,Manufacturing Director,2,Single,7169,19193,3,Y,No,21,4,2,80,3,36,6,4,16,15,12,13
31,No,Travel_Rarely,449,Research & Development,8,1,Technical Degree,1,15,3,Female,30,1,2,Laboratory Technician,2,Married,11237,5251,4,Y,Yes,25,3,2,80,3,40,2,2,9,3,6,2
55,No,Non-Travel,106,Sales,5,2,Human Resources,1,16,1,Female,83,1,4,Manager,1,Single,16170,19097,4,Y,No,15,3,3,80,3,4,2,3,22,4,8,5
29,No,Non-Travel,121,Research & Development,1,5,Technical Degree,1,17,2,Male,77,2,2,Research Scientist,2,Married,1408,2932,0,Y,No,14,3,2,80,3,4,2,2,40,8,7,2
38,No,Travel_Rarely,700,Sales,9,5,Medical,1,18,3,Male,30,4,2,Sales Representative,2,Married,19196,9196,7,Y,No,21,4,1,80,2,19,4,2,6,1,0,5
51,No,Travel_Rarely,965,Research & Development,10,3,Other,1,19,4,Female,73,1,2,Research Director,4,Single,13345,5145,9,Y,Yes,24,4,1,80,2,28,4,2,12,7,15,17
57,No,Travel_Rarely,119,Research & Development,20,1,Human Resources,1,20,3,Male,45,3,1,Manufacturing Director,1,Married,17631,25344,7,Y,Yes,15,4,2,80,3,9,3,4,26,4,10,16
57,No,Travel_Frequently,381,Research & Development,17,1,Life Sciences,1,21,4,Male,82,2,4,Healthcare Representative,4,Divorced,18671,16259,9,Y,No,23,3,4,80,2,4,1,4,3,1,9,8
21,No,Travel_Rarely,1373,Research & Development,14,5,Life Sciences,1,22,3,Male,56,1,1,Manufacturing Director,4,Single,3925,25076,4,Y,Yes,15,4,4,80,1,1,4,2,39,17,1,1
56,No,Travel_Frequently,1486,Human Resources,21,3,Technical Degree,1,23,2,Male,44,3,2,Manager,1,Married,2789,2599,0,Y,Yes,20,3,4,80,2,22,1,2,21,4,12,17
22,No,Travel_Rarely,999,Research & Development,23,1,Technical Degree,1,24,1,Female,65,3,2,Research Scientist,2,Married,15759,20511,2,Y,No,14,4,3,80,1,40,6,2,40,10,15,2
43,No,Travel_Rarely,831,Research & Development,21,5,Technical Degree,1,25,3,Female,61,4,5,Manager,2,Single,4577,14045,8,Y,Yes,14,3,4,80,2,19,4,3,17,15,13,1
57,Yes,Travel_Frequently,917,Sales,27,3,Life Sciences,1,26,4,Female,54,3,5,Sales Representative,4,Married,3818,13773,1,Y,Yes,25,3,4,80,1,30,3,3,34,9,3,7
46,No,Travel_Rarely,619,Research & Development,11,2,Technical Degree,1,27,2,Male,92,2,1,Laboratory Technician,4,Married,9906,23843,5,Y,No,16,3,4,80,1,2,1,3,13,5,2,16
58,No,Travel_Frequently,383,Sales,24,3,Technical Degree,1,28,1,Male,76,4,1,Sales Executive,4,Single,18355,3267,0,Y,No,11,3,3,80,0,8,5,2,18,14,5,14
32,No,Travel_Rarely,627,Sales,13,2,Human Resources,1,29,1,Female,64,1,4,Manager,2,Divorced,16118,25609,3,Y,No,22,3,1,80,3,27,4,2,14,13,0,6
31,No,Travel_Rarely,1080,Research & Development,6,5,Marketing,1,30,3,Male,46,3,2,Research Director,4,Married,10844,2799,1,Y,No,12,3,2,80,2,16,6,3,22,0,8,8
32,No,Travel_Rarely,1028,Research & Development,5,4,Marketing,1,31,3,Female,70,4,4,Research Director,4,Married,4739,11129,1,Y,No,12,3,4,80,0,1,4,4,9,15,7,1
33,No,Travel_Rarely,1048,Human Resources,3,1,Life Sciences,1,32,1,Male,31,1,5,Human Resources,3,Single,7397,5534,1,Y,No,23,4,3,80,1,9,5,4,20,2,8,4
47,No,Travel_Rarely,952,Research & Development,28,4,Technical Degree,1,33,1,Male,92,4,1,Research Director,1,Single,14084,15123,5,Y,No,16,3,1,80,1,32,0,1,34,14,15,12
37,No,Travel_Rarely,186,Research & Development,5,1,Technical Degree,1,34,3,Male,30,1,5,Healthcare Representative,2,Married,3991,16932,6,Y,Yes,13,3,1,80,3,28,0,1,6,1,10,7
49,No,Travel_Rarely,977,Research & Development,25,3,Medical,1,35,2,Male,79,2,1,Research Scientist,1,Married,10967,18085,2,Y,No,25,3,3,80,3,33,4,3,32,1,6,17
35,Yes,Travel_Rarely,1333,Sales,23,4,Other,1,36,2,Male,54,2,2,Sales Representative,4,Single,1233,21971,8,Y,No,15,3,4,80,3,14,0,1,35,2,12,8
31,No,Travel_Rarely,1009,Sales,13,1,Human Resources,1,37,2,Male,81,1,3,Sales Representative,2,Married,7182,20797,3,Y,No,20,3,3,80,1,38,6,3,1,14,5,15
26,Yes,Travel_Rarely,912,Research & Development,27,4,Medical,1,38,3,Male,55,3,5,Healthcare Representative,3,Married,5717,25716,7,Y,No,14,3,4,80,0,37,6,2,27,8,12,13
41,No,Travel_Rarely,415,Sales,27,2,Technical Degree,1,39,3,Male,31,2,3,Sales Executive,2,Married,13943,13291,5,Y,No,19,3,1,80,2,15,4,1,19,11,14,9
56,No,Travel_Rarely,1209,Research & Development,27,4,Other,1,40,1,Female,97,3,1,Manufacturing Director,4,Divorced,18367,6461,7,Y,No,21,3,4,80,0,8,5,3,26,5,14,15
54,Yes,Travel_Frequently,733,Research & Development,15,3,Life Sciences,1,41,1,Male,84,2,2,Manager,4,Married,3790,5971,9,Y,No,22,3,1,80,2,39,2,3,12,2,8,15
28,No,Travel_Rarely,469,Research & Development,9,1,Medical,1,42,3,Female,33,3,4,Research Scientist,2,Married,16149,8956,9,Y,No,17,3,4,80,1,14,6,3,9,14,7,5
38,No,Travel_Rarely,786,Research & Development,2,4,Marketing,1,43,3,Male,32,4,3,Manager,2,Married,13465,17110,5,Y,No,20,3,4,80,1,20,0,4,11,15,6,5
48,Yes,Travel_Frequently,272,Research & Development,25,2,Life Sciences,1,44,1,Male,67,3,1,Manager,1,Married,19426,3441,9,Y,No,23,3,3,80,0,38,2,4,6,15,8,12
44,No,Travel_Rarely,1397,Research & Development,26,5,Marketing,1,45,1,Male,97,1,3,Manager,1,Divorced,18319,25875,7,Y,No,23,3,3,80,3,11,4,2,16,1,14,0
20,No,Travel_Rarely,1084,Research & Development,16,5,Life Sciences,1,46,3,Female,71,2,3,Research Director,4,Divorced,2922,26727,2,Y,No,22,3,2,80,2,36,5,3,35,17,13,12
43,No,Travel_Rarely,558,Research & Development,3,1,Human Resources,1,47,2,Female,30,2,1,Manager,4,Married,15123,6198,9,Y,Yes,16,3,3,80,1,6,1,4,31,10,9,7
19,No,Travel_Rarely,1211,Sales,24,4,Technical Degree,1,48,1,Female,79,1,2,Manager,4,Married,12255,21543,1,Y,Yes,18,3,4,80,2,12,5,4,7,3,4,13
23,No,Travel_Rarely,177,Research & Development,9,2,Medical,1,49,3,Male,60,1,5,Healthcare Representative,3,Divorced,3156,16945,4,Y,No,25,3,2,80,3,15,3,3,22,3,6,2
46,No,Travel_Frequently,641,Sales,16,4,Other,1,50,1,Female,75,1,4,Sales Representative,1,Divorced,5892,14066,1,Y,Yes,14,3,2,80,2,19,6,1,3,9,3,10
22,No,Non-Travel,1012,Sales,20,3,Life Sciences,1,51,1,Female,54,4,1,Sales Representative,1,Single,18612,20390,7,Y,Yes,21,3,4,80,3,9,1,2,2,11,2,9
32,Yes,Travel_Rarely,135,Sales,5,2,Technical Degree,1,52,3,Female,30,2,1,Sales Representative,3,Single,11320,16429,8,Y,Yes,22,3,4,80,1,36,4,1,25,0,0,0
43,No,Travel_Rarely,1092,Research & Development,2,4,Other,1,53,1,Male,31,4,2,Laboratory Technician,2,Married,7436,10155,8,Y,No,18,3,3,80,1,27,1,1,12,9,12,9
46,No,Travel_Frequently,1245,Research & Development,3,2,Other,1,54,1,Female,74,3,3,Healthcare Representative,1,Divorced,7094,16095,1,Y,No,23,3,1,80,3,27,0,2,28,4,11,11
37,No,Travel_Rarely,932,Research & Development,28,5,Medical,1,55,4,Male,75,3,3,Manager,1,Divorced,16920,5475,2,Y,No,17,3,4,80,2,30,4,2,6,17,2,7
22,Yes,Travel_Rarely,390,Research & Development,28,5,Technical Degree,1,56,1,Female,52,4,4,Research Director,3,Divorced,6392,8429,3,Y,No,23,3,4,80,2,26,4,4,4,11,11,11
52,Yes,Travel_Rarely,1149,Research & Development,13,1,Other,1,57,3,Male,35,3,1,Laboratory Technician,4,Single,4026,26326,1,Y,No,20,3,2,80,2,26,2,2,29,7,2,5
58,No,Travel_Rarely,575,Research & Development,13,4,Other,1,58,4,Male,84,1,1,Manufacturing Director,2,Divorced,11906,6711,5,Y,No,11,4,3,80,3,27,4,1,8,8,4,11
56,No,Travel_Rarely,1130,Sales,12,5,Medical,1,59,4,Male,40,2,4,Sales Representative,4,Single,19857,16993,0,Y,No,23,3,2,80,2,29,6,1,2,15,4,4
50,No,Travel_Rarely,980,Sales,11,1,Human Resources,1,60,4,Female,43,3,5,Sales Representative,2,Married,4490,9490,6,Y,No,21,3,4,80,3,37,2,1,32,13,2,5
35,Yes,Travel_Rarely,232,Research & Development,16,4,Medical,1,61,2,Male,62,1,1,Manager,3,Married,5857,13669,5,Y,No,14,4,3,80,0,8,3,2,28,7,11,1
55,No,Travel_Rarely,241,Research & Development,11,5,Marketing,1,62,4,Male,80,1,2,Manager,1,Married,9918,8249,5,Y,No,21,3,2,80,2,21,1,2,38,15,0,1
38,No,Non-Travel,123,Research & Development,18,2,Medical,1,63,1,Male,100,1,4,Healthcare Representative,3,Married,4803,16260,9,Y,Yes,18,3,4,80,1,7,3,2,24,11,6,2
23,No,Travel_Rarely,202,Research & Development,11,3,Life Sciences,1,64,2,Female,74,3,1,Healthcare Representative,2,Single,13368,15979,7,Y,Yes,25,4,3,80,0,7,6,2,19,1,7,3
54,No,Travel_Rarely,520,Research & Development,19,4,Medical,1,65,1,Male,98,2,5,Manager,4,Single,5825,17476,2,Y,No,15,3,2,80,1,38,4,2,27,11,9,12
31,No,Travel_Rarely,137,Research & Development,28,2,Life Sciences,1,66,3,Female,76,1,2,Manufacturing Director,2,Divorced,3443,9770,5,Y,No,14,3,4,80,3,19,0,3,32,17,3,3
58,No,Travel_Rarely,1413,Research & Development,6,2,Other,1,67,4,Male,90,3,3,Research Director,1,Single,5970,16511,8,Y,No,11,3,2,80,3,28,5,1,25,16,7,6
33,No,Non-Travel,1383,Sales,2,2,Technical Degree,1,68,4,Female,42,3,2,Sales Representative,1,Married,18681,20249,8,Y,Yes,22,3,2,80,1,29,2,4,13,0,12,3
55,No,Non-Travel,343,Sales,16,2,Marketing,1,69,4,Female,34,3,4,Sales Representative,2,Single,18763,20024,6,Y,No,25,3,2,80,0,1,0,2,36,16,5,7
41,No,Travel_Rarely,537,Research & Development,4,4,Technical Degree,1,70,1,Female,77,1,1,Manager,2,Single,10613,16239,0,Y,No,21,3,1,80,1,20,4,1,28,18,15,4
38,No,Travel_Rarely,1139,Sales,7,2,Technical Degree,1,71,4,Female,99,4,1,Sales Representative,2,Single,8614,9544,4,Y,No,16,3,2,80,1,7,2,1,35,3,6,5
30,No,Travel_Rarely,1025,Research & Development,23,2,Medical,1,72,3,Male,82,1,3,Research Director,3,Married,16572,15350,8,Y,No,24,3,1,80,1,12,6,3,22,12,12,1
53,Yes,Travel_Rarely,915,Research & Development,13,5,Medical,1,73,2,Male,54,3,5,Research Scientist,4,Married,4698,15467,0,Y,No,14,4,3,80,3,7,6,3,18,14,1,9
20,No,Travel_Rarely,1484,Sales,16,3,Human Resources,1,74,1,Female,64,3,4,Manager,3,Single,13427,25786,5,Y,No,21,3,3,80,1,27,4,1,34,0,13,4
38,No,Travel_Rarely,982,Sales,23,5,Life Sciences,1,75,1,Male,37,1,4,Sales Representative,2,Divorced,13923,11484,5,Y,No,19,4,4,80,0,5,4,2,25,15,7,11
33,No,Travel_Rarely,1037,Sales,4,4,Human Resources,1,76,4,Male,54,2,3,Sales Representative,3,Single,14492,10123,2,Y,No,23,3,3,80,0,18,2,1,31,7,15,17
41,No,Travel_Rarely,803,Sales,14,5,Human Resources,1,77,2,Female,78,1,1,Sales Representative,4,Married,5148,20770,3,Y,No,25,4,1,80,2,12,0,4,36,5,11,8
28,No,Travel_Rarely,836,Research & Development,1,1,Medical,1,78,3,Male,41,2,3,Laboratory Technician,1,Single,14609,17916,9,Y,No,16,3,3,80,0,39,0,2,11,4,11,9
46,No,Travel_Rarely,508,Research & Development,15,5,Medical,1,79,4,Male,64,3,5,Research Director,1,Divorced,12631,12731,5,Y,Yes,12,3,1,80,0,32,3,4,7,9,2,14
34,No,Travel_Rarely,830,Research & Development,7,5,Medical,1,80,2,Female,50,2,4,Manager,1,Single,17628,2095,9,Y,No,13,3,1,80,3,14,2,3,6,15,9,6
26,No,Travel_Rarely,1385,Research & Development,27,1,Technical Degree,1,81,1,Male,64,3,4,Manufacturing Director,4,Married,4320,19650,4,Y,No,22,3,3,80,0,12,6,4,24,15,11,2
26,No,Travel_Rarely,628,Research & Development,8,2,Medical,1,82,2,Male,84,4,2,Research Scientist,4,Married,12661,20447,8,Y,Yes,16,3,1,80,2,29,2,3,33,4,12,12
47,No,Travel_Rarely,288,Research & Development,6,3,Other,1,83,1,Male,92,1,3,Manufacturing Director,2,Married,16764,25264,6,Y,No,13,3,2,80,0,25,1,1,40,15,6,11
29,Yes,Travel_Rarely,940,Sales,1,3,Marketing,1,84,1,Male,59,2,4,Sales Executive,4,Divorced,6292,14610,9,Y,No,23,3,4,80,3,22,5,3,1,15,9,8
31,No,Travel_Rarely,1199,Sales,4,4,Human Resources,1,85,4,Female,88,1,4,Sales Representative,3,Single,15134,14923,3,Y,Yes,20,4,2,80,2,2,5,2,0,1,2,6
44,Yes,Travel_Frequently,1442,Sales,7,4,Human Resources,1,86,2,Female,79,3,5,Sales Representative,4,Married,2898,7284,3,Y,No,12,4,3,80,3,3,2,4,27,5,6,0
32,No,Non-Travel,859,Research & Development,7,2,Marketing,1,87,3,Male,95,1,4,Research Scientist,4,Divorced,14646,13542,0,Y,Yes,21,3,2,80,2,26,0,2,11,0,7,10
34,No,Travel_Rarely,1203,Research & Development,22,4,Technical Degree,1,88,3,Male,82,4,2,Manager,4,Divorced,12522,2131,2,Y,No,20,3,1,80,1,19,0,1,19,18,0,9
28,No,Travel_Rarely,452,Sales,26,5,Life Sciences,1,89,3,Male,69,2,2,Sales Executive,2,Married,4665,14565,1,Y,No,25,3,1,80,3,34,3,1,3,8,14,9
32,No,Travel_Frequently,695,Research & Development,25,3,Life Sciences,1,90,3,Male,77,3,4,Healthcare Representative,3,Married,2269,19701,1,Y,No,25,3,1,80,3,1,6,3,3,5,10,5
47,No,Travel_Rarely,687,Sales,28,5,Technical Degree,1,91,1,Female,52,1,5,Manager,1,Married,15166,21667,3,Y,No,25,4,1,80,0,7,2,1,21,16,2,2
40,No,Travel_Rarely,566,Research & Development,27,4,Marketing,1,92,3,Female,77,2,5,Laboratory Technician,4,Married,5591,18599,8,Y,Yes,24,3,1,80,2,32,0,3,28,13,14,10
60,No,Travel_Rarely,1103,Research & Development,14,5,Marketing,1,93,4,Male,80,1,4,Research Director,2,Divorced,10455,22153,3,Y,No,22,3,4,80,2,40,2,1,36,17,11,11
51,Yes,Travel_Rarely,1337,Research & Development,12,5,Life Sciences,1,94,1,Female,73,3,3,Research Scientist,2,Divorced,2161,18666,8,Y,Yes,21,3,4,80,1,30,0,1,19,15,11,3
18,No,Travel_Rarely,558,Sales,19,1,Human Resources,1,95,1,Female,37,1,5,Sales Executive,3,Married,19306,21516,8,Y,No,19,3,2,80,1,0,2,3,26,18,14,2
34,Yes,Travel_Rarely,291,Research & Development,10,5,Marketing,1,96,3,Male,66,1,5,Healthcare Representative,4,Married,11432,12989,9,Y,No,22,4,3,80,3,2,3,2,35,4,6,8
30,Yes,Travel_Rarely,1255,Research & Development,18,1,Marketing,1,97,4,Female,80,3,1,Manager,3,Married,18700,17092,5,Y,Yes,25,3,1,80,0,36,5,3,17,3,5,0
43,No,Travel_Rarely,1289,Sales,29,5,Marketing,1,98,2,Female,44,3,2,Sales Executive,4,Single,4053,18016,8,Y,No,12,3,3,80,3,20,0,1,8,1,9,3
29,No,Travel_Rarely,1409,Sales,6,5,Marketing,1,99,4,Male,85,2,2,Sales Executive,3,Divorced,4917,16354,4,Y,No,13,3,1,80,2,20,3,1,33,6,14,11
59,No,Travel_Rarely,458,Human Resources,23,2,Technical Degree,1,100,1,Male,89,2,3,Human Resources,4,Married,12601,16323,6,Y,No,18,3,3,80,0,39,1,1,0,10,13,5
30,No,Travel_Rarely,1107,Research & Development,28,1,Other,1,101,3,Female,68,2,2,Manufacturing Director,3,Single,12488,21567,8,Y,Yes,15,3,2,80,1,10,3,2,11,10,12,8
40,No,Travel_Rarely,1102,Research & Development,16,3,Technical Degree,1,102,4,Female,98,4,2,Laboratory Technician,2,Married,16028,8043,1,Y,No,18,3,4,80,3,11,6,2,5,12,12,12
23,No,Travel_Rarely,1206,Sales,11,2,Life Sciences,1,103,2,Male,90,2,1,Sales Executive,4,Single,18633,9986,0,Y,Yes,15,3,4,80,2,28,5,2,26,13,0,3
57,No,Travel_Rarely,1229,Human Resources,8,3,Human Resources,1,104,3,Male,63,4,1,Manager,2,Single,16617,15014,1,Y,No,22,3,2,80,0,37,5,1,11,15,7,4
57,Yes,Travel_Frequently,1433,Research & Development,5,1,Medical,1,105,1,Female,92,1,3,Laboratory Technician,3,Married,3671,18168,7,Y,No,24,4,1,80,0,14,0,2,14,9,5,5
52,No,Travel_Rarely,768,Research & Development,10,1,Life Sciences,1,106,3,Male,96,1,5,Healthcare Representative,2,Married,6887,14910,4,Y,No,15,3,2,80,3,6,5,4,26,5,5,7
33,No,Travel_Rarely,208,Research & Development,22,3,Life Sciences,1,107,3,Male,37,2,2,Manager,2,Married,18363,7060,2,Y,No,22,3,2,80,0,2,6,1,12,8,13,10
20,Yes,Travel_Rarely,370,Sales,15,4,Other,1,108,4,Male,100,1,2,Manager,2,Single,11434,22607,7,Y,No,12,3,2,80,2,0,4,4,14,16,6,1
48,No,Travel_Frequently,1341,Sales,7,2,Marketing,1,109,1,Female,30,3,2,Sales Executive,2,Married,17474,15688,0,Y,No,22,4,3,80,3,15,5,2,20,15,13,8
36,No,Travel_Frequently,1282,Research & Development,16,2,Life Sciences,1,110,2,Female,64,2,5,Manager,4,Single,11701,12890,1,Y,No,21,3,4,80,0,21,0,3,4,17,14,12
60,Yes,Travel_Frequently,117,Research & Development,24,1,Other,1,111,3,Female,96,2,4,Healthcare Representative,4,Divorced,1953,23963,4,Y,No,21,4,1,80,0,20,5,3,38,10,7,15
48,Yes,Travel_Rarely,615,Sales,1,2,Medical,1,112,4,Male,81,3,4,Sales Executive,3,Single,9989,12955,9,Y,No,18,3,3,80,3,9,5,3,40,14,2,9
41,No,Travel_Rarely,444,Sales,1,2,Human Resources,1,113,1,Male,48,1,1,Manager,1,Divorced,16670,6116,7,Y,No,12,3,1,80,3,27,1,4,29,7,11,11
60,No,Travel_Rarely,550,Research & Development,28,2,Human Resources,1,114,3,Male,75,2,5,Manufacturing Director,1,Single,13450,26611,6,Y,Yes,23,3,3,80,2,36,3,4,4,0,13,14
52,Yes,Travel_Rarely,995,Sales,22,2,Life Sciences,1,115,4,Male,45,4,1,Manager,1,Single,3530,11623,7,Y,No,12,4,3,80,0,9,2,1,19,14,6,13
37,No,Travel_Rarely,815,Research & Development,17,2,Other,1,116,3,Male,46,3,5,Manufacturing Director,3,Married,4998,24371,3,Y,No,18,3,4,80,0,27,0,2,14,1,3,9
18,No,Travel_Rarely,774,Research & Development,27,4,Technical Degree,1,117,2,Female,94,3,5,Manager,4,Married,17234,14966,4,Y,No,13,3,3,80,3,22,0,3,6,12,8,10
21,No,Travel_Rarely,710,Research & Development,18,2,Medical,1,118,1,Female,33,3,3,Research Scientist,2,Divorced,19605,8128,8,Y,No,23,4,1,80,3,28,2,3,35,18,15,17
37,No,Travel_Frequently,998,Research & Development,16,4,Marketing,1,119,2,Female,98,2,5,Manufacturing Director,2,Married,15307,11472,7,Y,Yes,19,4,4,80,3,0,0,4,17,0,8,13
42,No,Travel_Rarely,1056,Research & Development,7,4,Marketing,1,120,1,Male,62,4,5,Laboratory Technician,3,Married,2871,24765,5,Y,Yes,18,3,2,80,3,27,3,3,26,13,7,4
19,No,Travel_Rarely,162,Research & Development,24,4,Life Sciences,1,121,1,Male,34,4,3,Laboratory Technician,4,Single,12768,25622,0,Y,No,15,3,2,80,1,30,0,2,28,16,7,8
23,No,Travel_Rarely,293,Research & Development,23,3,Other,1,122,2,Male,85,2,4,Laboratory Technician,2,Married,16756,5530,7,Y,No,22,3,3,80,1,27,0,4,13,11,11,13
48,No,Travel_Frequently,578,Sales,9,5,Medical,1,123,1,Male,33,4,3,Sales Representative,2,Married,13166,26679,3,Y,No,14,3,2,80,1,34,4,3,14,13,5,9
50,No,Non-Travel,711,Research & Development,22,2,Human Resources,1,124,1,Male,53,1,3,Research Scientist,3,Divorced,12291,23348,3,Y,No,21,3,4,80,2,30,1,4,39,17,11,7
19,No,Travel_Rarely,1494,Sales,22,5,Other,1,125,3,Male,47,2,2,Manager,4,Married,9884,18225,6,Y,Yes,25,3,1,80,0,40,2,3,33,14,15,10
39,No,Non-Travel,1348,Research & Development,3,2,Technical Degree,1,126,1,Female,85,2,4,Research Director,3,Married,5659,6659,3,Y,No,14,4,1,80,0,27,2,1,20,0,12,6
21,No,Travel_Frequently,1008,Research & Development,5,1,Life Sciences,1,127,1,Male,58,3,2,Manager,3,Divorced,6341,16702,5,Y,No,21,3,4,80,3,18,3,4,21,14,14,12
49,No,Travel_Frequently,152,Sales,18,5,Life Sciences,1,128,3,Male,76,3,1,Manager,3,Single,15170,12694,0,Y,No,15,4,2,80,1,34,3,3,0,14,12,13
53,No,Travel_Frequently,242,Sales,19,5,Life Sciences,1,129,4,Male,35,2,2,Sales Executive,1,Married,2334,5194,1,Y,Yes,24,3,4,80,0,28,0,1,8,4,13,16
55,No,Travel_Rarely,741,Research & Development,20,1,Marketing,1,130,3,Female,79,2,1,Research Scientist,4,Divorced,2613,26599,5,Y,No,24,3,4,80,2,22,0,2,0,12,0,17
43,No,Travel_Frequently,922,Sales,11,3,Other,1,131,1,Male,80,3,5,Sales Representative,1,Married,8542,17122,9,Y,No,15,3,4,80,1,23,3,2,33,15,5,12
45,No,Travel_Rarely,1025,Human Resources,25,3,Life Sciences,1,132,1,Male,50,2,2,Human Resources,2,Married,15715,4511,7,Y,No,14,3,3,80,0,14,3,2,38,16,4,13
57,No,Travel_Frequently,300,Research & Development,13,2,Other,1,133,3,Male,92,2,4,Laboratory Technician,2,Divorced,13486,10604,4,Y,No,12,3,3,80,1,25,5,3,6,16,13,13
44,Yes,Travel_Rarely,1343,Research & Development,6,3,Life Sciences,1,134,3,Male,63,2,3,Manager,3,Single,12213,23009,9,Y,Yes,21,3,3,80,1,19,1,3,11,14,3,5
37,No,Travel_Frequently,791,Research & Development,4,4,Medical,1,135,2,Female,77,4,2,Research Director,1,Divorced,11152,13107,2,Y,No,24,3,3,80,2,5,0,1,14,2,15,16
50,No,Non-Travel,932,Sales,26,3,Technical Degree,1,136,4,Male,42,3,2,Manager,1,Married,3112,14415,8,Y,Yes,13,3,2,80,3,18,4,3,33,9,11,9
43,No,Travel_Rarely,156,Human Resources,21,3,Other,1,137,4,Male,96,1,5,Human Resources,4,Married,7310,5642,4,Y,No,23,3,4,80,3,38,6,2,16,4,1,15
54,No,Non-Travel,1254,Research & Development,14,5,Other,1,138,3,Female,47,4,3,Manager,2,Married,2518,4858,0,Y,No,22,3,1,80,3,13,1,1,1,1,10,3
40,No,Travel_Rarely,861,Research & Development,7,2,Technical Degree,1,139,3,Male,74,3,3,Laboratory Technician,3,Married,15407,26450,0,Y,Yes,18,3,2,80,1,27,0,4,24,5,5,5
55,No,Travel_Rarely,413,Sales,3,4,Life Sciences,1,140,4,Female,36,2,4,Sales Representative,3,Single,15268,25816,9,Y,No,14,3,2,80,2,17,2,2,6,17,4,11
19,No,Travel_Rarely,547,Research & Development,5,2,Medical,1,141,1,Male,33,3,5,Manufacturing Director,3,Single,5910,4467,6,Y,Yes,20,3,4,80,0,11,3,1,26,11,15,10
